Rk,Player,Sh,SoT,SoT%,Club,ClubCountryCode,ClubContinent
84,Benjamin Asare,0,0,,1.gh Accra Hearts of Oak,gh,Non-Europe
85,Emam Ashour,10,2,20,1.eg Al Ahly,eg,Non-Europe
86,Rustam Ashurmatov,0,0,,1.ir Esteghlal,ir,Non-Europe
87,Lawrence Ati-Zigi,0,0,,1.ch St. Gallen,ch,Europe
88,Marwan Attia,4,0,0,1.eg Al Ahly,eg,Non-Europe
89,Fredrik Aursnes,2,0,0,1.pt Benfica,pt,Europe
90,Gabriel ?valos,1,0,0,1.ar Independiente,ar,Non-Europe
91,Yasin Ayari,7,3,42.9,1.eng Brighton,eng,Europe
92,O?uz Ayd?n,0,0,,1.tr Fenerbahe,tr,Europe
93,Jordan Ayew,0,0,,2.eng Leicester City,eng,Europe
94,Kaan Ayhan,1,1,100,1.tr Galatasaray,tr,Europe
95,Neil El Aynaoui,7,2,28.6,1.it Roma,it,Europe
96,Ali Azaizeh,2,0,0,1.sa Al-Shabab,sa,Non-Europe
97,Juninho Bacuna,5,1,20,1.nl Volendam,nl,Europe
98,Leandro Bacuna,6,1,16.7,2.tr 76 I?d?r Belediyespor,tr,Europe
99,?lex Baena,12,5,41.7,1.es Atltico Madrid,es,Europe
100,Esmir Bajraktarevic,3,2,66.7,1.nl PSV,nl,Europe
101,Cdric Bakambu,3,0,0,1.es Real Betis,es,Europe
102,Fabi n Balbuena,0,0,,1.br Grmio,br,Non-Europe
103,Folarin Balogun,14,5,35.7,1.fr Monaco,fr,Europe
104,Simon Banza,0,0,,1.ae Al Jazira Club,ae,Non-Europe
105,Yoel B rcenas,2,0,0,1.mx Mazatl n,mx,Non-Europe
106,Valent¡n Barco,0,0,,1.fr Strasbourg,fr,Europe
107,Bradley Barcola,10,5,50,1.fr PSG,fr,Europe
108,Abdlkerim Bardakc?,3,1,33.3,1.tr Galatasaray,tr,Europe
109,Ivan Ba?i?,4,0,0,1.kz FC Astana,kz,Europe
110,Ahmed Basil,0,0,,1.iq Al-Shorta,iq,Non-Europe
111,Martin Baturina,3,1,33.3,1.it Como,it,Europe
112,Ibrahim Bayesh,1,0,0,1.ae Al Dhafra SCC,ae,Non-Europe
113,Samed Ba?dar,0,0,,1.de Gladbach,de,Europe
114,Riechedly Bazoer,0,0,,1.tr Konyaspor,tr,Europe
115,Patrick Beach,0,0,,1.au Melb City,au,Non-Europe
116,Aziz Behich,1,1,100,1.au Melb City,au,Non-Europe
117,Maximilian Beier,0,0,,1.de Dortmund,de,Europe
118,Alireza Beiranvand,0,0,,1.ir Tractor,ir,Non-Europe
119,Zineddine Belad,0,0,,1.dz JS Kabylie,dz,Non-Europe
120,Rafik Belghali,3,1,33.3,1.it Hellas Verona,it,Europe
121,Joe Bell,1,0,0,1.no Viking,no,Europe
122,Jean-Ricner Bellegarde,6,0,0,1.eng Wolves,eng,Europe
123,Jude Bellingham,19,13,68.4,1.es Real Madrid,es,Europe
124,Mortadha Ben Ouanes,0,0,,1.tr Kas?mpa?a,tr,Europe
125,Anis Ben Slimane,1,1,100,2.eng Norwich City,eng,Europe
126,Oussama Benbot,0,0,,1.dz USM Alger,dz,Non-Europe
127,Nadhir Benbouali,2,2,100,1.hu Gy?r,hu,Europe
128,Gilson Benchimol,0,0,,1.ru Akron Tolyatti,ru,Europe
129,Ramy Bensebaini,2,0,0,1.de Dortmund,de,Europe
130,Nabil Bentaleb,1,0,0,1.fr Lille,fr,Europe
131,Rodrigo Bentancur,4,0,0,1.eng Tottenham,eng,Europe
