Rk,Player,Club,MP,Min,MinPerMatch
417,Ali Nemati,1.ir Foolad,3.0,270.0,90.0
420,Ramin Rezaeian,1.ir Foolad,3.0,270.0,90.0
421,Mehdi Taremi,1.gr Olympiacos,3.0,259.0,86.33333333333333
422,Mehdi Torabi,1.ir Tractor,1.0,25.0,25.0
423,Aria Yousefi,1.ir Sepahan,1.0,45.0,45.0
424,Telmo Arcanjo,1.pt Vit. Guimarães,2.0,57.0,28.5
425,Gilson Benchimol,1.ru Akron Tolyatti,2.0,78.0,39.0
426,Jovane Cabral,1.pt Estrela,2.0,139.0,69.5
428,Nuno da Costa,1.tr Başakşehir,4.0,159.0,39.75
429,Diney,1.ae Al Bataeh,4.0,390.0,90.0
431,Deroy Duarte,1.bg Ludogorets,4.0,264.0,66.0
432,Laros Duarte,1.hu Puskás Akad.,4.0,166.0,41.5
433,Dailon Livramento,1.pt Casa Pia,3.0,174.0,58.0
434,Sidny Lopes Cabral,1.pt Benfica,3.0,285.0,90.0
435,Ryan Mendes,2.tr 76 Iğdır Belediyespor,4.0,330.0,82.5
436,Jamiro Monteiro,1.nl Zwolle,4.0,281.0,70.25
437,Steven Moreira,1.us Columbus Crew,4.0,301.0,75.25
438,João Paulo Fernandes,1.ro FCSB,2.0,105.0,52.5
439,Pico,1.ie Shamrock,4.0,390.0,90.0
440,Kevin Pina,1.ru Krasnodar,4.0,349.0,87.25
441,Wagner Pina,1.tr Trabzonspor,1.0,89.0,89.0
443,Garry Rodrigues,1.cy Apollon Limassol,2.0,76.0,38.0
445,Willy Semedo,1.cy AC Omonia,3.0,131.0,43.666666666666664
447,Hélio Varela,1.il Maccabi Tel Aviv,3.0,104.0,34.666666666666664
448,Vozinha,2.pt Chaves,4.0,390.0,90.0
449,Yannick,2.pt Farense,2.0,32.0,16.0
450,Lamine Camara,1.fr Monaco,4.0,248.0,62.0
451,Pathé Ciss,1.es Rayo Vallecano,4.0,184.0,46.0
452,Assane Diao,1.it Como,1.0,10.0,10.0
453,Habib Diarra,1.eng Sunderland,3.0,143.0,47.666666666666664
454,Krépin Diatta,1.fr Monaco,4.0,390.0,90.0
455,Mory Diaw,1.fr Le Havre,3.0,238.0,79.33333333333333
